Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
"AAH","1010","1","Survey of Art & Arch History I","40%","45%","10%","0%","1%","0%","0%","5%","Lauritis, Beth Ann",""
"AAH","1010","2","Surv of Art & Arch I (HON)","87%","0%","0%","0%","0%","0%","0%","13%","Lauritis, Beth Ann","H"
"AAH","2050","1","Art History and Theory I","79%","15%","0%","0%","6%","0%","0%","0%","Lauritis, Beth Ann",""
"AAH","3050","1","Contemporary Art History","84%","16%","0%","0%","0%","0%","0%","0%","Feeser, Andrea V",""
"ACCT","2010","1","Financial Accounting Concepts","18%","35%","20%","12%","8%","0%","0%","6%","McCorkle, Emily Suza",""
"ACCT","2010","2","Financial Accounting Concepts","21%","44%","25%","4%","4%","0%","0%","2%","McCorkle, Emily Suza",""
"ACCT","2010","3","Financial Accounting Concepts","30%","43%","11%","4%","4%","0%","0%","9%","Schleifer, Lydia Lan",""
"ACCT","2010","4","Financial Accounting Concepts","28%","33%","22%","9%","0%","0%","0%","9%","McCorkle, Emily Suza",""
"ACCT","2010","5","Financial Accounting Concepts","34%","24%","28%","8%","4%","0%","0%","2%","Philo, Annieka C",""
"ACCT","2010","6","Financial Accounting Concepts","33%","31%","13%","10%","4%","0%","0%","8%","Schleifer, Lydia Lan",""
"ACCT","2010","7","Financial Accounting Concepts","24%","37%","20%","10%","8%","0%","0%","0%","Philo, Annieka C",""
"ACCT","2010","8","Financial Accounting Concepts","24%","39%","12%","6%","10%","0%","0%","8%","Schleifer, Lydia Lan",""
"ACCT","2010","9","Financial Accounting Concepts","21%","56%","13%","2%","8%","0%","0%","0%","Philo, Annieka C",""
"ACCT","2010","10","Financial Accounting Concepts","36%","30%","22%","2%","4%","0%","0%","6%","Philo, Annieka C",""
"ACCT","2010","11","Financial Accounting Concepts","29%","43%","16%","8%","2%","0%","0%","2%","Trax, Rebecca Pennel",""
"ACCT","2010","12","Financial Accounting Concepts","30%","26%","23%","9%","6%","0%","0%","6%","Trax, Rebecca Pennel",""
"ACCT","2010","13","Financial Accounting Concepts","22%","35%","17%","13%","9%","0%","0%","4%","Tegen, Charles A",""
"ACCT","2010","14","Financial Accounting Concepts","27%","41%","18%","4%","8%","0%","0%","2%","Birtwistle, Lisa Whe",""
"ACCT","2010","100","Fin Accounting Concepts (HON)","74%","11%","11%","0%","5%","0%","0%","0%","Birtwistle, Lisa Whe","H"
"ACCT","2010","400","Financial Accounting Concepts","29%","34%","19%","10%","5%","0%","0%","2%","McCorkle, Emily Suza",""
"ACCT","2020","1","Managerial Accounting Concepts","36%","22%","22%","2%","0%","0%","0%","18%","Anderson, Henry K.",""
"ACCT","2020","2","Managerial Accounting Concepts","36%","30%","10%","0%","6%","0%","0%","18%","Anderson, Henry K.",""
"ACCT","2020","3","Managerial Accounting Concepts","28%","28%","13%","2%","6%","0%","0%","23%","Anderson, Henry K.",""
"ACCT","2020","4","Managerial Accounting Concepts","29%","31%","18%","7%","4%","0%","0%","11%","Davis-Culler, Phebia",""
"ACCT","2020","5","Managerial Accounting Concepts","28%","15%","20%","22%","11%","0%","0%","4%","Davis-Culler, Phebia",""
"ACCT","2020","6","Managerial Accounting Concepts","21%","9%","38%","9%","15%","0%","0%","9%","Davis-Culler, Phebia",""
"ACCT","2020","7","Managerial Accounting Concepts","9%","27%","24%","11%","7%","0%","0%","22%","Carver, Brian Todd",""
"ACCT","2020","8","Managerial Accounting Concepts","16%","19%","23%","7%","14%","0%","0%","21%","Carver, Brian Todd",""
"ACCT","2020","400","Managerial Accounting Concepts","35%","24%","15%","3%","4%","0%","0%","19%","Anderson, Henry K.",""
"ACCT","3030","1","Cost Accounting","32%","41%","18%","0%","2%","0%","0%","7%","Radtke, Robin R",""
"ACCT","3030","2","Cost Accounting","32%","32%","26%","3%","8%","0%","0%","0%","Radtke, Robin R",""
"ACCT","3030","3","Cost Accounting","23%","34%","27%","9%","0%","0%","0%","7%","Garrett, Jace B",""
"ACCT","3030","4","Cost Accounting","20%","33%","16%","13%","11%","0%","0%","7%","Garrett, Jace B",""
"ACCT","3110","1","Intermediate Financial Acct I","33%","42%","18%","2%","4%","0%","0%","0%","Donnelly, Amy Meliss",""
"ACCT","3110","2","Intermediate Financial Acct I","32%","28%","28%","10%","2%","0%","0%","0%","Donnelly, Amy Meliss",""
"ACCT","3110","3","Intermediate Financial Acct I","53%","24%","18%","4%","0%","0%","0%","0%","Hawkins, Erin Michel",""
