Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
"AAH","1020","1","Survey of Art & Arch Hist II","41%","41%","13%","2%","1%","0%","0%","3%","Feeser, Andrea V",""
"AAH","2060","1","Art History and Theory II","89%","11%","0%","0%","0%","0%","0%","0%","Feeser, Andrea V",""
"ACCT","2010","1","Financial Accounting Concepts","42%","20%","13%","5%","12%","0%","0%","8%","Schleifer, Lydia Lan",""
"ACCT","2010","2","Financial Accounting Concepts","40%","25%","22%","5%","7%","0%","0%","2%","Philo, Annieka C",""
"ACCT","2010","3","Financial Accounting Concepts","20%","41%","20%","14%","0%","0%","0%","6%","Maiberger, Philip A",""
"ACCT","2010","4","Financial Accounting Concepts","35%","22%","27%","7%","10%","0%","0%","0%","Philo, Annieka C",""
"ACCT","2010","5","Financial Accounting Concepts","38%","20%","15%","7%","8%","0%","0%","12%","Schleifer, Lydia Lan",""
"ACCT","2010","6","Financial Accounting Concepts","45%","25%","8%","5%","8%","0%","0%","8%","Schleifer, Lydia Lan",""
"ACCT","2010","7","Financial Accounting Concepts","27%","13%","23%","7%","13%","0%","0%","18%","Prater, Mary Ann M",""
"ACCT","2010","8","Financial Accounting Concepts","41%","24%","21%","10%","2%","0%","0%","2%","Philo, Annieka C",""
"ACCT","2010","9","Financial Accounting Concepts","11%","29%","20%","9%","9%","0%","0%","23%","Prater, Mary Ann M",""
"ACCT","2010","10","Financial Accounting Concepts","59%","29%","5%","2%","2%","0%","0%","3%","Tegen, Charles A",""
"ACCT","2010","101","Fin Acct Concepts (HON)","76%","12%","0%","0%","0%","0%","0%","12%","Prater, Mary Ann M","H"
"ACCT","2010","401","Financial Accounting Concepts","28%","45%","14%","3%","6%","0%","0%","3%","McMillan, Jeffrey J",""
"ACCT","2010","402","Financial Accounting Concepts","21%","50%","13%","5%","9%","0%","0%","2%","McMillan, Jeffrey J",""
"ACCT","2020","1","Managerial Accounting Concepts","9%","37%","30%","9%","4%","0%","0%","11%","Anderson, Henry K.",""
"ACCT","2020","2","Managerial Accounting Concepts","11%","33%","29%","3%","7%","0%","0%","17%","Anderson, Henry K.",""
"ACCT","2020","3","Managerial Accounting Concepts","25%","23%","30%","8%","3%","0%","0%","13%","Anderson, Henry K.",""
"ACCT","2020","4","Managerial Accounting Concepts","15%","32%","29%","6%","10%","0%","0%","8%","McCorkle, Emily Suza",""
"ACCT","2020","5","Managerial Accounting Concepts","46%","34%","13%","4%","1%","0%","0%","1%","McCorkle, Emily Suza",""
"ACCT","2020","401","Managerial Accounting Concepts","11%","32%","16%","10%","8%","0%","0%","23%","Anderson, Henry K.",""
"ACCT","3030","1","Cost Accounting","40%","29%","20%","2%","4%","0%","0%","4%","Garrett, Jace B",""
"ACCT","3030","2","Cost Accounting","20%","39%","31%","4%","0%","0%","0%","6%","Garrett, Jace B",""
"ACCT","3030","3","Cost Accounting","24%","32%","24%","4%","6%","0%","0%","10%","Trax, Rebecca Pennel",""
"ACCT","3030","4","Cost Accounting","18%","29%","29%","4%","7%","0%","0%","14%","Trax, Rebecca Pennel",""
"ACCT","3110","1","Intermediate Financial Acct I","22%","29%","24%","9%","9%","0%","0%","7%","Knause, Terry Daniel",""
