Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
"AAH","1020","1","Survey of Art & Arch Hist II","40%","40%","17%","0%","1%","0%","0%","1%","Feeser Andrea V",""
"AAH","2060","1","Art History and Theory II","83%","17%","0%","0%","0%","0%","0%","0%","Feeser Andrea V",""
"ACCT","2010","1","Financial Accounting Concepts","13%","31%","29%","10%","17%","0%","0%","0%","McCorkle Emily Suzan",""
"ACCT","2010","2","Financial Accounting Concepts","33%","38%","16%","4%","7%","0%","0%","2%","Schleifer Lydia Lanc",""
"ACCT","2010","3","Financial Accounting Concepts","28%","22%","34%","8%","8%","0%","0%","0%","Philo Annieka C",""
"ACCT","2010","4","Financial Accounting Concepts","40%","28%","14%","10%","4%","0%","0%","4%","McCorkle Emily Suzan",""
"ACCT","2010","5","Financial Accounting Concepts","41%","31%","18%","2%","4%","0%","0%","4%","Philo Annieka C",""
"ACCT","2010","6","Financial Accounting Concepts","43%","31%","10%","2%","6%","0%","0%","8%","Schleifer Lydia Lanc",""
"ACCT","2010","7","Financial Accounting Concepts","31%","52%","4%","2%","8%","0%","0%","2%","Schleifer Lydia Lanc",""
"ACCT","2010","8","Financial Accounting Concepts","37%","35%","16%","4%","4%","0%","0%","4%","McCorkle Emily Suzan",""
"ACCT","2010","9","Financial Accounting Concepts","30%","32%","22%","4%","10%","0%","0%","2%","McCorkle Emily Suzan",""
"ACCT","2010","10","Financial Accounting Concepts","18%","36%","24%","12%","8%","0%","0%","2%","Barnes James D",""
"ACCT","2010","11","Financial Accounting Concepts","30%","36%","20%","6%","8%","0%","0%","0%","Trax Rebecca Pennell",""
"ACCT","2010","12","Financial Accounting Concepts","37%","31%","18%","6%","4%","0%","0%","4%","Trax Rebecca Pennell",""
"ACCT","2010","13","Financial Accounting Concepts","49%","24%","10%","7%","5%","0%","0%","5%","Tegen Charles A",""
"ACCT","2010","14","Financial Accounting Concepts","29%","29%","32%","3%","6%","0%","0%","0%","Maiberger Philip A",""
"ACCT","2010","15","Financial Accounting Concepts","24%","43%","14%","10%","5%","0%","0%","5%","Birtwistle Lisa Whea",""
"ACCT","2010","16","Financial Accounting Concepts","12%","38%","22%","8%","16%","0%","0%","4%","Barnes James D",""
"ACCT","2010","101","Fin Acct Concepts (HON)","83%","17%","0%","0%","0%","0%","0%","0%","Birtwistle Lisa Whea","H"
"ACCT","2010","401","Financial Accounting Concepts","31%","48%","10%","8%","1%","0%","0%","2%","McMillan Jeffrey J",""
"ACCT","2020","1","Managerial Accounting Concepts","17%","34%","17%","3%","6%","0%","0%","23%","Anderson Henry K.",""
"ACCT","2020","2","Managerial Accounting Concepts","19%","28%","17%","2%","2%","0%","0%","33%","Anderson Henry K.",""
"ACCT","2020","3","Managerial Accounting Concepts","27%","29%","22%","14%","6%","0%","0%","2%","Davis-Culler Phebian",""
"ACCT","2020","4","Managerial Accounting Concepts","42%","33%","19%","4%","2%","0%","0%","0%","Kohlmeyer James Milt",""
"ACCT","2020","5","Managerial Accounting Concepts","22%","33%","13%","4%","7%","0%","0%","20%","Anderson Henry K.",""
"ACCT","2020","6","Managerial Accounting Concepts","29%","29%","21%","9%","4%","0%","0%","9%","Carver Brian Todd",""
"ACCT","2020","7","Managerial Accounting Concepts","15%","31%","27%","0%","17%","0%","0%","10%","Carver Brian Todd",""
"ACCT","2020","401","Managerial Accounting Concepts","33%","28%","18%","5%","3%","0%","0%","12%","Anderson Henry K.",""
"ACCT","3030","1","Cost Accounting","30%","36%","23%","11%","0%","0%","0%","0%","Davis-Culler Phebian",""
"ACCT","3030","2","Cost Accounting","36%","27%","27%","4%","4%","0%","0%","2%","Davis-Culler Phebian",""
"ACCT","3030","3","Cost Accounting","20%","32%","32%","7%","0%","0%","0%","10%","Garrett Jace B",""
"ACCT","3030","4","Cost Accounting","13%","32%","36%","6%","11%","0%","0%","2%","Garrett Jace B",""
"ACCT","3110","1","Intermediate Financial Acct I","29%","33%","19%","5%","7%","0%","0%","7%","Hawkins Erin Michell",""
"ACCT","3110","2","Intermediate Financial Acct I","18%","50%","23%","5%","5%","0%","0%","0%","Hawkins Erin Michell",""
"ACCT","3110","3","Intermediate Financial Acct I","22%","44%","20%","13%","0%","0%","0%","0%","Donnelly Amy Melissa",""
"ACCT","3110","4","Intermediate Financial Acct I","29%","33%","31%","7%","0%","0%","0%","0%","Donnelly Amy Melissa",""
"ACCT","3110","401","Intermediate Financial Acct I","49%","27%","8%","6%","2%","0%","0%","8%","Anderson Henry K.",""
"ACCT","3120","1","Intermediate Financial Acct II","0%","18%","45%","18%","18%","0%","0%","0%","Vinson Jeremy Michae",""
"ACCT","3120","2","Intermediate Financial Acct II","32%","36%","25%","5%","0%","0%","0%","2%","Knause Terry Daniel",""
"ACCT","3120","3","Intermediate Financial Acct II","23%","39%","27%","9%","2%","0%","0%","0%","Vinson Jeremy Michae",""
"ACCT","3120","4","Intermediate Financial Acct II","28%","33%","33%","0%","0%","0%","0%","6%","Knause Terry Daniel",""
"ACCT","3120","5","Intermediate Financial Acct II","36%","30%","23%","11%","0%","0%","0%","0%","Knause Terry Daniel",""
"ACCT","3120","6","Intermediate Financial Acct II","27%","40%","20%","13%","0%","0%","0%","0%","Knause Terry Daniel",""
"ACCT","3130","1","Intermediate Fin Acct III","11%","50%","21%","7%","4%","0%","0%","7%","Madray J Russell",""
"ACCT","3130","2","Intermediate Fin Acct III","16%","48%","30%","2%","2%","0%","0%","2%","Madray J Russell",""
"ACCT","3130","3","Intermediate Fin Acct III","30%","49%","16%","5%","0%","0%","0%","0%","Madray J Russell",""
"ACCT","3130","4","Intermediate Fin Acct III","36%","44%","15%","5%","0%","0%","0%","0%","Madray J Russell",""
"ACCT","3220","1","Accounting Information Systems","17%","50%","17%","3%","3%","0%","0%","11%","Maiberger Philip A",""
