Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
AAH,1010,1,Survey of Art & Arch History I,42%,45%,11%,1%,1%,0%,0%,0%,Lauritis Beth Ann,
AAH,2050,1,Art History and Theory I,73%,20%,0%,0%,0%,0%,0%,7%,Lauritis Beth Ann,
AAH,3050,1,Contemporary Art History,76%,24%,0%,0%,0%,0%,0%,0%,Feeser Andrea V,
ACCT,2010,1,Financial Accounting Concepts,9%,36%,27%,2%,9%,0%,0%,18%,Schleifer Lydia Lanc,
ACCT,2010,2,Financial Accounting Concepts,28%,23%,23%,13%,4%,0%,0%,9%,McCorkle Emily Suzan,
ACCT,2010,3,Financial Accounting Concepts,33%,48%,13%,8%,0%,0%,0%,0%,McCorkle Emily Suzan,
ACCT,2010,4,Financial Accounting Concepts,36%,28%,21%,4%,9%,0%,0%,2%,Philo Annieka C,
ACCT,2010,5,Financial Accounting Concepts,33%,23%,19%,2%,13%,0%,0%,10%,Schleifer Lydia Lanc,
ACCT,2010,6,Financial Accounting Concepts,24%,26%,29%,7%,10%,0%,0%,5%,Philo Annieka C,
ACCT,2010,7,Financial Accounting Concepts,17%,40%,19%,7%,5%,0%,0%,12%,McCorkle Emily Suzan,
ACCT,2010,8,Financial Accounting Concepts,21%,35%,19%,10%,4%,0%,0%,10%,Schleifer Lydia Lanc,
ACCT,2010,9,Financial Accounting Concepts,26%,41%,21%,8%,0%,0%,0%,5%,Philo Annieka C,
ACCT,2010,10,Financial Accounting Concepts,30%,25%,23%,5%,18%,0%,0%,0%,McCorkle Emily Suzan,
ACCT,2010,11,Financial Accounting Concepts,16%,42%,16%,5%,11%,0%,0%,11%,Tegen Charles A,
ACCT,2010,12,Financial Accounting Concepts,26%,24%,29%,8%,3%,0%,0%,11%,Maiberger Philip A,
ACCT,2010,13,Financial Accounting Concepts,23%,28%,36%,5%,5%,0%,0%,3%,Birtwistle Lisa Whea,
ACCT,2010,14,Financial Accounting Concepts,37%,37%,17%,7%,0%,0%,0%,2%,Birtwistle Lisa Whea,
ACCT,2010,100,Fin Accounting Concepts (HON),88%,6%,6%,0%,0%,0%,0%,0%,Birtwistle Lisa Whea,H
ACCT,2010,400,Financial Accounting Concepts,19%,43%,16%,9%,7%,0%,0%,6%,McMillan Jeffrey J,
ACCT,2020,1,Managerial Accounting Concepts,14%,20%,37%,3%,9%,0%,0%,17%,Anderson Henry K.,
ACCT,2020,2,Managerial Accounting Concepts,25%,45%,14%,5%,2%,0%,0%,9%,Anderson Henry K.,
ACCT,2020,3,Managerial Accounting Concepts,36%,24%,18%,0%,9%,0%,0%,13%,Anderson Henry K.,
ACCT,2020,4,Managerial Accounting Concepts,19%,35%,16%,22%,0%,0%,0%,8%,Carver Brian Todd,
ACCT,2020,5,Managerial Accounting Concepts,24%,22%,20%,7%,18%,0%,0%,9%,Carver Brian Todd,
ACCT,2020,6,Managerial Accounting Concepts,11%,30%,27%,9%,2%,0%,0%,20%,Carver Brian Todd,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 1 of 102,
Grades Report for 201808,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ACCT,2020,7,Managerial Accounting Concepts,25%,29%,33%,4%,2%,0%,0%,6%,Davis-Culler Phebian,
ACCT,2020,400,Managerial Accounting Concepts,25%,36%,20%,9%,4%,0%,0%,6%,Anderson Henry K.,
ACCT,3030,3,Cost Accounting,45%,37%,8%,0%,8%,0%,0%,2%,Davis-Culler Phebian,
ACCT,3030,4,Cost Accounting,21%,28%,30%,12%,7%,0%,0%,2%,Davis-Culler Phebian,
ACCT,3110,1,Intermediate Financial Acct I,10%,33%,25%,17%,8%,0%,0%,6%,Hawkins Erin Michell,
ACCT,3110,2,Intermediate Financial Acct I,16%,29%,24%,13%,11%,0%,0%,7%,Hawkins Erin Michell,
ACCT,3110,3,Intermediate Financial Acct I,14%,44%,23%,12%,2%,0%,0%,5%,Donnelly Amy Melissa,
ACCT,3110,4,Intermediate Financial Acct I,9%,55%,21%,6%,2%,0%,0%,6%,Donnelly Amy Melissa,
ACCT,3110,400,Intermediate Financial Acct I,21%,35%,13%,4%,8%,0%,0%,19%,Anderson Henry K.,
ACCT,3120,1,Intermediate Financial Acct II,58%,42%,0%,0%,0%,0%,0%,0%,Knause Terry Daniel,
ACCT,3120,2,Intermediate Financial Acct II,10%,34%,37%,7%,10%,0%,0%,2%,Vinson Jeremy Michae,
ACCT,3120,3,Intermediate Financial Acct II,38%,41%,21%,0%,0%,0%,0%,0%,Knause Terry Daniel,
ACCT,3120,4,Intermediate Financial Acct II,35%,35%,25%,3%,0%,0%,0%,3%,Vinson Jeremy Michae,
ACCT,3120,5,Intermediate Financial Acct II,26%,42%,26%,0%,0%,0%,0%,5%,Knause Terry Daniel,
ACCT,3120,6,Intermediate Financial Acct II,33%,49%,18%,0%,0%,0%,0%,0%,Knause Terry Daniel,
ACCT,3130,1,Intermediate Fin Acct III,10%,31%,38%,17%,5%,0%,0%,0%,Madray J Russell,
ACCT,3130,2,Intermediate Fin Acct III,9%,45%,33%,6%,3%,0%,0%,3%,Madray J Russell,
ACCT,3130,3,Intermediate Fin Acct III,27%,37%,20%,10%,5%,0%,0%,2%,Madray J Russell,
ACCT,3130,4,Intermediate Fin Acct III,27%,27%,39%,5%,2%,0%,0%,0%,Madray J Russell,
ACCT,3220,1,Accounting Information Systems,36%,27%,25%,5%,2%,0%,0%,5%,Maiberger Philip A,
ACCT,3220,2,Accounting Information Systems,18%,34%,24%,11%,5%,0%,0%,8%,Maiberger Philip A,
ACCT,3220,3,Accounting Information Systems,16%,26%,34%,11%,3%,0%,0%,11%,Maiberger Philip A,
ACCT,4040,1,Individual Taxation,50%,29%,12%,6%,3%,0%,0%,0%,Birtwistle Lisa Whea,
ACCT,4040,2,Individual Taxation,50%,31%,19%,0%,0%,0%,0%,0%,Martin Sarah L,
ACCT,4040,3,Individual Taxation,57%,26%,9%,6%,3%,0%,0%,0%,Martin Sarah L,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 2 of 102,
Grades Report for 201808,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ACCT,4080,1,Retire & Estate Plan,37%,52%,7%,0%,0%,0%,0%,4%,Hine John M,
